우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06357|서울특별시|Seoul|강남구|Gangnam-gu|||116802000006|양재대로|Yangjae-daero|0|340|0|1168010300100550000000001||능인선원|1168010300|개포동||개포4동|0|1055|01|0||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|9|0|1168010300102160009021229||노블레스|1168010300|개포동||개포4동|0|1216|01|9||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|11|0|1168010300102160008021230||노블레스|1168010300|개포동||개포4동|0|1216|01|8||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|9|7|1168010300111950003000001||노블레스빌|1168010300|개포동||개포4동|0|1195|01|3||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|72|0|1168010300111840004000001||노블리스주빌딩|1168010300|개포동||개포4동|0|1184|01|4||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166054|개포로21길|Gaepo-ro 21-gil|0|12|0|1168010300102560010020367||노블빌라|1168010300|개포동||개포4동|0|1256|01|10||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|4|1168010300112360001000001||노블하임|1168010300|개포동||개포4동|0|1236|01|1||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|12|0|1168010300101690003019434||노인정|1168010300|개포동||개포2동|0|169|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|52|0|1168010300102280006020859||남현빌딩|1168010300|개포동||개포4동|0|1228|02|6||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|34|0|1168010300102430008020269||내외빌딩|1168010300|개포동||개포4동|0|1243|01|8||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166054|개포로21길|Gaepo-ro 21-gil|0|25|0|1168010300102520006020241||네비스빌|1168010300|개포동||개포4동|0|1252|01|6||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|221|0|1168010300102580000020449||네비스빌딩|1168010300|개포동||개포4동|0|1258|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|9|4|1168010300111960008000001||네잎클로버|1168010300|개포동||개포4동|0|1196|01|8||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166054|개포로21길|Gaepo-ro 21-gil|0|10|0|1168010300112570000000001||까사밀라|1168010300|개포동||개포4동|0|1257|01|0||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|66|0|1168010300101810000020853||꼼지하우스|1168010300|개포동||개포4동|0|1181|01|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|29|2|1168010300112650003000001||꿈꾸지오|1168010300|개포동||개포4동|0|1265|01|3||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|251|0|1168010300102590008020415||남강빌딩|1168010300|개포동||개포4동|0|1259|01|8||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|42|0|1168010300101940004020972||글로리빌딩|1168010300|개포동||개포4동|0|1194|02|4||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|206|0|1168010300102380002020521||금화빌딩|1168010300|개포동||개포4동|0|1238|01|2||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|36|0|1168010300101860002019918||국민은행 개포동지점|1168010300|개포동||개포2동|0|186|01|2||
06311|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|65|0|1168010300102720000020732||국악고등학교|1168010300|개포동||개포4동|0|1272|01|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|17|4|1168010300102540010020276||그랑시아|1168010300|개포동||개포4동|0|1254|01|10||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|216|0|1168010300102380007027480||그래텍빌딩|1168010300|개포동||개포4동|0|1238|01|7||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|21|7|1168010300102540001020265||그린빌|1168010300|개포동||개포4동|0|1254|01|1||
